player,pos,team,overallRank,projections,projectedPtsMean,projectedPtsMedian,pick,sdPts,sdPick,risk,positionRank,vor
Demetrius Harris,TE,KC,334,16.4,16.4,16.4,NA,NA,NA,NA,70,-89.3751391
Jalen Saunders,WR,NYJ,335,34.45,30.26666667,34.45,NA,17.97368447,NA,5.643555114,139,-89.5114679
Marquess Wilson,WR,CHI,336,34.38116844,42.35,34.38116844,NA,22.64655971,NA,6.794422105,140,-89.58029946
Andre Caldwell,WR,DEN,337,34.32858634,29.245,34.32858634,144,14.52033057,0,3.205900519,141,-89.63288155
Darrius Heyward-Bey,WR,PIT,338,34.15,34.15,34.15,NA,21.28391411,NA,6.458820627,142,-89.8114679
Gary Barnidge,TE,CLE,339,15.9,15,15.9,NA,7.610738028,NA,3.091299304,71,-89.8751391
Josh Hill,TE,NO,340,15.6,15.6,15.6,NA,10.46518036,NA,3.794310467,72,-90.1751391
Josh McCown,QB,TB,341,230.5093527,234.1371429,230.5093527,144.8292683,38.84021529,18.7804,8.151463946,27,-90.44465159
Chase Ford,TE,MIN,342,15.3,15.3,15.3,NA,NA,NA,NA,73,-90.4751391
Vincent Brown,WR,SD,343,33.14021968,35.50857143,33.14021968,NA,20.10767302,NA,6.169128098,143,-90.82124822
Chris Owusu,WR,TB,344,33.00046819,27.77,33.00046819,NA,13.13798564,NA,4.452586841,144,-90.96099971
Chris Hogan,WR,BUF,345,32.85,32.85,32.85,NA,4.596194078,NA,2.348857243,145,-91.1114679
Shaq Evans,WR,NYJ,346,32.8,32.8,32.8,NA,38.18376618,NA,10.62102931,146,-91.1614679
Daniel Herron,RB,IND,347,26.69,26.69,26.69,NA,NA,NA,NA,101,-91.33875413
Joseph Randle,RB,DAL,348,26.6,25.07,26.6,191.5,5.914530131,3.5,2.509700556,102,-91.42875413
Santana Moss,WR,WAS,349,32.26409646,32.125,32.26409646,NA,15.29630511,NA,4.984152206,147,-91.69737144
Dion Sims,TE,MIA,350,14.05,14.05,14.05,NA,2.899137803,NA,1.930894865,74,-91.7251391
Bruce Ellington,WR,SF,351,32.1,32.1,32.1,NA,14.99066376,NA,4.908876809,148,-91.8614679
LaVon Brazill,WR,NA,352,32,32,32,NA,NA,NA,NA,149,-91.9614679
Aldrick Robinson,WR,WAS,353,31.925,34.03333333,31.925,NA,6.987369558,NA,2.937771945,150,-92.0364679
Vance McDonald,TE,SF,354,13.13,19.305,13.13,NA,16.06400012,NA,5.173225272,75,-92.6451391
Kevin Norwood,WR,SEA,355,31.2,31.2,31.2,NA,8.343860018,NA,3.271857495,151,-92.7614679
DeVier Posey,WR,HOU,356,31.10001778,25.32857143,31.10001778,NA,15.90066036,NA,5.132996863,152,-92.86145011
Rhett Ellison,TE,MIN,357,12.55,12.55,12.55,NA,6.01040764,NA,2.697159225,76,-93.2251391
Anthony Dixon,RB,BUF,358,24.775,21.83333333,24.775,NA,14.72288468,NA,4.842926385,103,-93.25375413
Craig Stevens,TE,TEN,359,12.35,12.35,12.35,NA,4.87903679,NA,2.41851764,77,-93.4251391
De'Anthony Thomas,RB,KC,360,24.6,24.2,24.6,192.5,12.76329372,1.5,3.145339023,104,-93.42875413
Lorenzo Taliaferro,RB,BAL,361,24.3066753,31,24.3066753,NA,15.07204919,NA,4.928920956,105,-93.72207884
Lache Seastrunk,RB,WAS,362,24.29286872,24.86,24.29286872,NA,16.88866484,NA,5.376329217,106,-93.73588541
Louis Murphy,WR,TB,363,29.75,29.4,29.75,NA,16.69917663,NA,5.329660793,153,-94.2114679
Charles Sims,RB,TB,364,23.69,26.3,23.69,169.7,13.2332748,19.9,5.114433124,107,-94.33875413
Virgil Green,TE,DEN,365,11.4,11.4,11.4,NA,8.202438662,NA,3.237027297,78,-94.3751391
