"name","name_cbs","pos","team_cbs","positionRank_cbs","overallRank_cbs","passAtt_cbs","passComp_cbs","passYds_cbs","passTds_cbs","passInt_cbs","passCompPct_cbs","passYdsPerAtt_cbs","rushAtt_cbs","rushYds_cbs","rushYdsPerAtt_cbs","rushTds_cbs","rec_cbs","recYds_cbs","recYdsPerRec_cbs","recTds_cbs","twoPts_cbs","fumbles_cbs","pts_cbs"
"TRENTRICHARDSON","Trent Richardson","RB","IND",26,79,NA,NA,NA,NA,NA,NA,NA,241.5,914.5,3.8,6.5,40,302,7.5,0.5,NA,3,141
"WESWELKER","Wes Welker","WR","DEN",20,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,975.5,12,9,NA,1,141
"VICTORCRUZ","Victor Cruz","WR","NYG",21,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,1077,13.1,7,NA,1,140
"CHADHENNE","Chad Henne","QB","JAC",32,82,368,211.5,2475.5,12,11,57.5,6.7,20.5,46.5,2.3,0,NA,NA,NA,NA,NA,2,139
"CHRISJOHNSON","Chris Johnson","RB","NYJ",27,83,NA,NA,NA,NA,NA,NA,NA,243.5,1004.5,4.1,4.5,36,271,7.5,1,NA,2.5,138
"BENTATE","Ben Tate","RB","CLE",27,83,NA,NA,NA,NA,NA,NA,NA,235.5,1047,4.4,7,23.5,139.5,5.9,0,NA,3.5,138
"STEVANRIDLEY","Stevan Ridley","RB","NE",27,83,NA,NA,NA,NA,NA,NA,NA,228,994.5,4.4,8,9,56.5,6.3,0,NA,2,138
"EMMANUELSANDERS","Emmanuel Sanders","WR","DEN",22,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.5,1052,14.7,7,NA,0.5,138
"GOLDENTATE","Golden Tate","WR","DET",23,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.5,1015.5,14.4,7,NA,1,135
"DESEANJACKSON","DeSean Jackson","WR","WAS",24,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.5,949.5,16.5,7.5,NA,0.5,132
"VERNONDAVIS","Vernon Davis","TE","SF",4,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,828.5,13.4,9.5,NA,0.5,131
"LAMARMILLER","Lamar Miller","RB","MIA",30,90,NA,NA,NA,NA,NA,NA,NA,191,870,4.6,5.5,32,245,7.7,0.5,NA,1,130
"TORREYSMITH","Torrey Smith","WR","BAL",25,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,1039,16.2,6,NA,0.5,130
"PERCYHARVIN","Percy Harvin","WR","SEA",25,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.5,853,12.6,6.5,NA,0.5,130
"MIKEWALLACE","Mike Wallace","WR","MIA",27,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,1015.5,14.5,5.5,NA,0.5,127
"TERRANCEWILLIAMS","Terrance Williams","WR","DAL",27,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,934,14.6,7,NA,0.5,127
